team\_cn\_sporttery,team\_en\_fbref,所属联赛
桑内费尤德,Sandefjord,Eliteserien
萨尔普斯堡,Sarpsborg 08,Eliteserien
斯特罗姆加斯特,Str?msgodset,Eliteserien
特罗姆瑟,Troms?,Eliteserien
维京,Viking,Eliteserien
瓦勒伦加,V?lerenga,Eliteserien
阿尔克马尔,AZ Alkmaar,Eredivisie
阿贾克斯,Ajax,Eredivisie
埃克塞西奥,Excelsior,Eredivisie
费耶诺德,Feyenoord,Eredivisie
福图纳锡塔德,Fortuna Sittard,Eredivisie
前进之鹰,Go Ahead Eag,Eredivisie
格罗宁根,Groningen,Eredivisie
海伦芬,Heerenveen,Eredivisie
赫拉克勒斯,Heracles Almelo,Eredivisie
布雷达,NAC Breda,Eredivisie
NEC奈梅亨,NEC Nijmegen,Eredivisie
PSV埃因霍温,PSV Eindhoven,Eredivisie
鹿特丹斯巴达,Sparta Rdam,Eredivisie
特尔斯达,Telstar,Eredivisie
特温特,Twente,Eredivisie
乌德勒支,Utrecht,Eredivisie
沃伦丹,Volendam,Eredivisie
兹沃勒,Zwolle,Eredivisie
海牙,ADO Den Haag,Eredivisie 2
阿尔梅勒城,Almere City,Eredivisie 2
坎布尔,Cambuur,Eredivisie 2
格拉夫夏普,De Graafschap,Eredivisie 2
登博斯,Den Bosch,Eredivisie 2
多德勒支,Dordrecht,Eredivisie 2
埃门,Emmen,Eredivisie 2
FC埃因霍温,FC Eindhoven,Eredivisie 2
赫尔蒙德,Helmond Sport,Eredivisie 2
阿尔克马尔青年队,Jong AZ,Eredivisie 2
阿贾克斯青年队,Jong Ajax,Eredivisie 2
PSV青年队,Jong PSV,Eredivisie 2
乌德勒支青年队,Jong Utrecht,Eredivisie 2
MVV马斯特里赫特,MVV Maastricht,Eredivisie 2
FC奥斯,Oss,Eredivisie 2
瓦尔韦克,RKC Waalwijk,Eredivisie 2
罗达JC,Roda JC,Eredivisie 2
芬洛,VVV Venlo,Eredivisie 2
维特斯,Vitesse,Eredivisie 2
威廉二世,Willem II,Eredivisie 2
秋田蓝闪电,Blaublitz Akita,J2 League
札幌冈萨多,Consa Sapporo,J2 League
爱媛FC,Ehime FC,J2 League
今治FC,FC Imabari,J2 League
藤枝MYFC,Fujieda MYFC,J2 League
磐城FC,Iwaki FC,J2 League
JEF联,JEF United,J2 League
磐田喜悦,Júbilo Iwata,J2 League
富山胜利,Kataller Toyama,J2 League
水户蜀葵,Mito HollyHock,J2 League
山形山神,Montedio,J2 League
大分三神,Oita Trinita,J2 League
大宫松鼠,Omiya Ardija,J2 League
鸟栖砂岩,Renofa,J2 League
熊本深红,Roasso Kumamoto,J2 League
萨甘托苏,Sagan Tosu,J2 League
长崎成功丸,V V Nagasaki,J2 League
仙台维加泰,Vegalta Sendai,J2 League
甲府风林,Ventforet Kofu,J2 League
德岛漩涡,Vortis,J2 League
大邱FC,Daegu,K League 1
大田韩亚市民,Daejeon Citizen FC,K League 1
安养FC,FC Anyang,K League 1
首尔FC,FC Seoul,K League 1
江原FC,Gangwon,K League 1
光州FC,Gwangju FC,K League 1
济州联,Jeju United FC,K League 1
全北现代,Jeonbuk Hyundai,K League 1
浦项制铁,Pohang,K League 1
金泉尚武,Sangju Sangmu,K League 1
水原FC,Suwon FC,K League 1
蔚山HD,Ulsan HD,K League 1
阿拉维斯,Alavés,La Liga
毕尔巴鄂,Athletic Club,La Liga
马德里竞技,Atlético Madrid,La Liga
巴塞罗那,Barcelona,La Liga
皇家贝蒂斯,Betis,La Liga
塞尔塔,Celta Vigo,La Liga
埃尔切,Elche,La Liga
西班牙人,Espanyol,La Liga
赫塔费,Getafe,La Liga
赫罗纳,Girona,La Liga
莱万特,Levante,La Liga
马略卡,Mallorca,La Liga
奥萨苏纳,Osasuna,La Liga
奥维耶多,Oviedo,La Liga
巴列卡诺,Rayo Vallecano,La Liga
皇家马德里,Real Madrid,La Liga
皇家社会,Real Sociedad,La Liga
塞维利亚,Sevilla,La Liga
瓦伦西亚,Valencia,La Liga
比利亚雷亚尔,Villarreal,La Liga
昂热,Angers,League 1
欧塞尔,Auxerre,League 1
布雷斯特,Brest,League 1
勒阿弗尔,Le Havre,League 1
朗斯,Lens,League 1
里尔,Lille,League 1
洛里昂,Lorient,League 1
里昂,Lyon,League 1
马赛,Marseille,League 1
梅斯,Metz,League 1
摩纳哥,Monaco,League 1
南特,Nantes,League 1
尼斯,Nice,League 1
巴黎FC,Paris FC,League 1
巴黎圣日尔曼,Paris S G,League 1
雷恩,Rennes,League 1
斯特拉斯堡,Strasbourg,League 1
图卢兹,Toulouse,League 1
亚眠,Amiens,League 2
安纳西,Annecy,League 2
巴斯蒂亚,Bastia,League 2
克莱蒙,Clermont Foot,League 2
敦刻尔克,Dunkerque,League 2
格勒诺布尔,Grenoble,League 2
甘冈,Guingamp,League 2
勒芒,Le Mans,League 2
蒙彼利埃,Montpellier,League 2
南锡,Nancy,League 2
波城,Pau FC,League 2
红星,Red Star,League 2
兰斯,Reims,League 2
罗德兹,Rodez Aveyron,League 2
圣埃蒂安,Saint ?tienne,League 2
拉瓦勒,Stade Laval,League 2
特鲁瓦,Troyes,League 2
布洛涅,US Boulogne,League 2
AFC温布尔登,AFC Wimbledon,League One
巴恩斯利,Barnsley,League One
布莱克浦,Blackpool,League One
博尔顿,Bolton,League One
布拉德福德,Bradford City,League One
伯顿,Burton Albion,League One
加的夫城,Cardiff City,League One
唐卡斯特,Doncaster,League One
埃克塞特城,Exeter City,League One
哈德斯菲尔德,Huddersfield,League One
莱顿东方,Leyton Orient,League One
林肯城,Lincoln City,League One
卢顿,Luton Town,League One
曼斯菲尔德,Mansfield Town,League One
北安普顿,Northampton,League One
彼得伯勒联,Pborough Utd,League One
普利茅斯,Plymouth Argyle,League One
韦尔港,Port Vale,League One
雷丁,Reading,League One
罗瑟汉姆,Rotherham Utd,League One
斯蒂夫尼奇,Stevenage,League One
斯托克港,Stockport,League One
维冈竞技,Wigan Athletic,League One
韦康比,Wycombe,League One
阿森纳,Arsenal,Premier League
阿斯顿维拉,Aston Villa,Premier League
伯恩茅斯,Bournemouth,Premier League
布伦特福德,Brentford,Premier League
布莱顿,Brighton,Premier League
伯恩利,Burnley,Premier League
切尔西,Chelsea,Premier League
水晶宫,Crystal Palace,Premier League
埃弗顿,Everton,Premier League
富勒姆,Fulham,Premier League
利兹联,Leeds United,Premier League
利物浦,Liverpool,Premier League
曼彻斯特城,Manchester City,Premier League
曼联,Manchester Utd,Premier League
纽卡斯尔联,Newcastle Utd,Premier League
诺丁汉森林,Nottham Forest,Premier League
桑德兰,Sunderland,Premier League
热刺,Tottenham,Premier League
西汉姆,West Ham,Premier League
狼队,Wolves,Premier League
阿尔阿赫利,Al Ahli,Saodi Pri League
阿尔埃蒂法克,Al Ettifaq,Saodi Pri League
阿尔菲斯,Al Fateh,Saodi Pri League
阿尔费哈,Al Fayha,Saodi Pri League
阿尔哈泽姆,Al Hazem,Saodi Pri League
阿尔希拉尔,Al Hilal,Saodi Pri League
阿尔伊蒂哈德,Al Ittihad,Saodi Pri League
阿尔哈勒吉,Al Khaleej,Saodi Pri League
阿尔科鲁德,Al Kholood Saudi Club,Saodi Pri League
阿尔纳吉马,Al Najma,Saodi Pri League
阿尔纳斯尔,Al Nassr,Saodi Pri League
阿尔奥赫杜德,Al Okhdood SC,Saodi Pri League
阿尔卡迪亚西亚,Al Qadsiah,Saodi Pri League
阿尔利雅得,Al Riyadh SC,Saodi Pri League
阿尔沙巴布,Al Shabab,Saodi Pri League
阿尔苏古尔,Al Suqoor Saudi Club,Saodi Pri League
阿尔塔亚文,Al Taawoun,Saodi Pri League
达马克,Damac,Saodi Pri League
亚特兰大,Atalanta,Serie A
博洛尼亚,Bologna,Serie A
卡利亚里,Cagliari,Serie A
科莫,Como,Serie A
克雷莫纳,Cremonese,Serie A
佛罗伦萨,Fiorentina,Serie A
热那亚,Genoa,Serie A
维罗纳,Hellas Verona,Serie A
国际米兰,Inter,Serie A
尤文图斯,Juventus,Serie A
拉齐奥,Lazio,Serie A
莱切,Lecce,Serie A
AC米兰,Milan,Serie A
那不勒斯,Napoli,Serie A
帕尔马,Parma,Serie A
比萨,Pisa,Serie A
罗马,Roma,Serie A
萨索洛,Sassuolo,Serie A
都灵,Torino,Serie A
乌迪内斯,Udinese,Serie A
波尔图,Porto,Primeira-Liga
里斯本竞技,Sporting CP,Primeira-Liga
本菲卡,Benfica,Primeira-Liga
吉维森特,Gil Vicente FC,Primeira-Liga
布拉加,Braga,Primeira-Liga
摩雷伦斯,Moreirense,Primeira-Liga
吉马良斯,Vitória,Primeira-Liga
法马利康,Famalic?o,Primeira-Liga
埃斯托里尔,Estoril,Primeira-Liga
里奥阿维,Alverca,Primeira-Liga
阿尔维卡,Rio Ave,Primeira-Liga
阿马多拉,Estrela,Primeira-Liga
圣克拉拉,Santa Clara,Primeira-Liga
葡国民,Nacional,Primeira-Liga
卡萨皮亚,Casa Pia,Primeira-Liga
阿罗卡,Arouca,Primeira-Liga
通德拉,Tondela,Primeira-Liga
阿维SAD,AVS Futebol,Primeira-Liga
